id_transaction,id_collaborateur,date_transaction,client,categorie,montant_euros,statut
T000047,C0171,2025-08-21,Orion Energie,Audit,2718.22,annulee
T000048,C0203,15/08/2024,Sigma Sante,Maintenance,4146.79,payee
T000049,C0114,2024-02-16,Maison Delaunay,Licence,4092.36,payee
T000050,C0097,28/12/2025,Groupe Lorrain,Conseil,1077.66,payee
T000051,C0084,05-03-2025,Nord Logistique,Licence,6511.98,en attente
T000052,C0032,2024-06-05,Orion Energie,Conseil,1718.98,payee
T000053,C0013,2024-01-01,Groupe Lorrain,Maintenance,1402.17,payee
T000054,C0194,2024-04-04,Sigma Sante,Conseil,2556.73,payee
T000055,C0009,04/05/2024,Sigma Sante,Licence,2073.39,payee
T000056,C0191,2025-11-06,Groupe Lorrain,Formation,6001.05,payee
T000057,C0058,2024-05-09,Atelier Bastide,Conseil,3791.48,payee
T000058,C0162,28-04-2024,Maison Delaunay,Licence,2431.49,payee
T000059,C0169,2025-09-03,Orion Energie,Formation,1370.42,payee
T000060,C0174,2025-10-03,Sigma Sante,Formation,4016.38,payee
T000061,C0170,01/06/2024,Nord Logistique,Audit,2849.89,annulee
T000062,C0062,2025-04-19,Nord Logistique,Formation,4293.92,payee
T000063,C0139,2025-01-25,Nord Logistique,Licence,3803.87,payee
T000064,C0149,25/02/2025,Nord Logistique,Conseil,2110.95,payee
T000065,C0099,2024-08-15,Sigma Sante,Formation,4569.57,en attente
T000066,C0009,2025-07-02,Groupe Lorrain,Formation,1605.12,payee
T000067,C0212,05-10-2025,Atelier Bastide,Maintenance,2785.7,payee
T000068,C0046,13-06-2025,Groupe Lorrain,Conseil,2986.06,en attente
T000069,C0001,2025-10-21,Sigma Sante,Audit,3200.03,payee
T000070,C0217,2024-03-21,Maison Delaunay,Conseil,1548.53,payee
T000071,C0005,24-04-2025,Groupe Lorrain,Maintenance,5852.61,payee
T000072,C0172,30/12/2025,Groupe Lorrain,Conseil,2108.14,payee
T000073,C9999,2025-01-26,Verne Industries,Audit,1187.27,en attente
T000074,C0054,18-11-2025,Atelier Bastide,Maintenance,3865.09,payee
T000075,C0189,2024-09-11,Nord Logistique,Audit,7898.59,en attente
T000076,C0026,16/10/2025,Cabinet Ferrand,Audit,1074.29,annulee
T000077,C0058,16-11-2025,Verne Industries,Audit,1878.07,payee
T000078,C0169,2025-03-30,Atelier Bastide,Maintenance,5085.82,payee
T000079,C0173,2025-05-29,Maison Delaunay,Audit,3317.63,payee
T000080,C0027,16/01/2025,Sigma Sante,Conseil,1583.17,en attente
T000081,C0034,2024-08-19,Maison Delaunay,Maintenance,2973.34,payee
T000082,C0060,2025-01-26,Sigma Sante,Audit,6947.67,payee
T000083,C0017,2025-12-03,Orion Energie,Formation,6166.27,en attente
T000084,C0043,2024-01-11,Sigma Sante,Audit,10438.52,payee
T000085,C0133,29/05/2024,Maison Delaunay,Licence,4674.93,en attente
T000086,C0002,30/12/2024,Groupe Lorrain,Licence,2514.94,payee
T000087,C0067,2024-09-04,Verne Industries,Formation,5040.16,payee
T000088,C0073,2025-03-31,Cabinet Ferrand,Conseil,2232.94,payee
T000089,C0001,2024-09-20,Maison Delaunay,Audit,3104.94,payee
T000090,C0014,2025-04-25,Sigma Sante,Maintenance,2242.26,payee
T000091,C0197,18/03/2024,Maison Delaunay,Licence,4665.12,payee
T000092,C0080,2024-08-30,Verne Industries,Audit,4458.57,payee
T000093,C0123,2025-05-20,Sigma Sante,Conseil,2349.12,annulee
T000094,C0117,10-12-2024,Maison Delaunay,Maintenance,5619.55,payee
T000095,C0200,04-06-2025,Sigma Sante,Licence,6505.0,payee
T000096,C0174,2025-04-09,Nord Logistique,Maintenance,2527.94,payee
T000097,C0211,2024-08-27,Maison Delaunay,Conseil,4055.09,payee
T000098,C0128,2024-11-08,Verne Industries,Maintenance,6704.94,payee
T000099,C0214,05/12/2025,Cabinet Ferrand,Maintenance,3875.29,payee
T000100,C0173,2025-12-03,Verne Industries,Audit,2788.75,payee
T000101,C0172,2024-01-26,Verne Industries,Formation,3170.61,payee
T000102,C0154,2025-05-29,Maison Delaunay,Conseil,2511.36,payee
T000103,C0078,2024-12-24,Cabinet Ferrand,Conseil,5706.55,annulee
T000104,C0142,2024-01-01,Atelier Bastide,Conseil,5359.46,payee
T000105,C0083,2025-04-07,Groupe Lorrain,Formation,8662.65,payee
T000106,C0151,2024-01-17,Sigma Sante,Audit,2202.82,payee
T000107,C0060,2024-08-20,Cabinet Ferrand,Conseil,2429.46,en attente
T000108,C0186,2025-05-18,Nord Logistique,Conseil,1415.23,en attente
T000109,C0133,2025-08-16,Orion Energie,Conseil,4331.23,payee
T000110,C0165,2024-10-28,Groupe Lorrain,Formation,1744.84,payee
T000111,C0052,2025-08-13,Orion Energie,Maintenance,8441.41,payee
T000112,C0184,04/09/2025,Maison Delaunay,Formation,2073.81,payee
T000113,C0187,22-11-2024,Maison Delaunay,Licence,8693.17,payee
T000114,C0034,06-05-2024,Cabinet Ferrand,Formation,450.31,payee
T000115,C0082,2025-04-26,Maison Delaunay,Audit,1028.9,payee
T000116,C0158,2024-01-11,Atelier Bastide,Conseil,1706.76,annulee
T000117,C0203,2025-10-14,Verne Industries,Formation,3814.81,payee
T000118,C0171,10-10-2024,Orion Energie,Licence,3146.9,payee
T000119,C0110,2025-07-08,Verne Industries,Audit,2049.66,payee
T000120,C0070,2025-06-21,Maison Delaunay,Licence,3065.7,annulee
T000121,C0212,11/12/2024,Orion Energie,Conseil,2376.82,payee
T000122,C0203,2025-12-10,Nord Logistique,Licence,4278.05,payee
T000123,C0209,04-08-2025,Verne Industries,Formation,1783.11,payee
T000124,C0071,2025-10-07,Sigma Sante,Formation,3540.86,payee
T000125,C0102,2024-03-09,Sigma Sante,Audit,3617.58,payee
T000126,C0057,2024-12-19,Nord Logistique,Audit,3197.97,annulee
T000127,C0062,25/11/2025,Groupe Lorrain,Formation,4022.91,payee
T000128,C0202,2025-08-16,Cabinet Ferrand,Licence,3047.93,payee
T000129,C0041,2024-11-27,Cabinet Ferrand,Licence,4639.92,payee
T000130,C0058,2024-02-21,Atelier Bastide,Audit,3196.53,payee
T000131,C0129,2024-07-25,Cabinet Ferrand,Audit,5831.52,en attente
T000132,C9999,21/02/2025,Atelier Bastide,Formation,3531.32,payee
T000133,C0107,2025-04-13,Maison Delaunay,Conseil,5649.15,payee
T000134,C0086,2025-11-05,Cabinet Ferrand,Conseil,2401.92,payee
T000135,C0157,2024-03-08,Maison Delaunay,Conseil,1899.26,payee
T000136,C0209,16/10/2024,Cabinet Ferrand,Maintenance,4622.63,en attente
T000137,C0213,17-07-2024,Maison Delaunay,Maintenance,3226.81,payee
T000138,C0106,2025-12-01,Maison Delaunay,Audit,822.02,en attente
T000139,C0193,2024-05-01,Atelier Bastide,Conseil,2178.47,payee
T000140,C0162,2024-06-10,Cabinet Ferrand,Conseil,3824.22,annulee
T000141,C0046,2024-08-05,Maison Delaunay,Conseil,3083.56,en attente
T000142,C0185,2024-03-18,Nord Logistique,Maintenance,2126.3,payee
T000143,C0082,2025-04-14,Atelier Bastide,Conseil,3212.91,payee
T000144,C0146,18-01-2025,Sigma Sante,Maintenance,3485.87,en attente
T000145,C0168,11/02/2025,Atelier Bastide,Audit,1190.76,payee
T000146,C0219,24-10-2025,Orion Energie,Conseil,5571.98,payee
T000147,C0169,12-11-2024,Maison Delaunay,Maintenance,6197.73,en attente
T000148,C0187,2024-08-15,Verne Industries,Licence,2172.11,en attente
T000149,C0118,2024-10-01,Atelier Bastide,Audit,7764.46,payee
T000150,C0093,2025-08-07,Orion Energie,Formation,3098.41,en attente
T000151,C0103,2025-01-20,Nord Logistique,Formation,2306.96,payee
T000152,C0169,2024-05-03,Sigma Sante,Conseil,2269.53,payee
T000153,C0048,18/05/2025,Sigma Sante,Maintenance,7506.33,payee
T000154,C0122,2025-06-28,Groupe Lorrain,Audit,1803.34,payee
T000155,C0158,2024-07-01,Maison Delaunay,Conseil,3523.95,payee
T000156,C0006,10/02/2025,Verne Industries,Licence,3743.49,payee
T000157,C0148,2025-02-15,Orion Energie,Maintenance,4638.21,annulee
T000158,C0061,07/05/2024,Atelier Bastide,Maintenance,3380.43,payee
T000159,C0066,2024-01-07,Groupe Lorrain,Audit,7235.61,payee
T000160,C0145,08/06/2025,Maison Delaunay,Maintenance,7916.4,payee
T000161,C0003,25-03-2025,Nord Logistique,Audit,6416.45,payee
T000162,C0037,05/06/2025,Nord Logistique,Audit,3931.96,payee
T000163,C0106,2024-10-02,Verne Industries,Audit,5118.17,annulee
T000164,C0136,11/01/2025,Cabinet Ferrand,Licence,2766.5,payee
T000165,C0026,2025-12-17,Orion Energie,Licence,5674.53,payee
T000166,C0084,2024-06-13,Sigma Sante,Licence,2380.1,payee
T000167,C0072,2025-04-21,Orion Energie,Audit,1974.22,en attente
T000168,C0124,2024-04-06,Verne Industries,Formation,1943.37,payee
T000169,C0070,17/02/2024,Sigma Sante,Maintenance,4332.59,payee
T000170,C0001,2025-11-29,Cabinet Ferrand,Maintenance,6795.38,payee
T000171,C0123,2024-04-04,Orion Energie,Conseil,7065.76,payee
T000172,C0197,23/04/2025,Sigma Sante,Licence,861.25,payee
T000173,C0136,2025-01-10,Atelier Bastide,Conseil,5275.04,payee
T000174,C0084,2025-08-13,Orion Energie,Maintenance,1901.01,payee
T000175,C0112,2025-02-03,Nord Logistique,Licence,9458.34,payee
T000176,C0033,2025-05-23,Sigma Sante,Formation,1566.25,annulee
T000177,C0055,2025-10-14,Nord Logistique,Conseil,1205.62,en attente
T000178,C0102,2025-08-28,Atelier Bastide,Conseil,5328.83,payee
T000179,C0138,2025-06-10,Orion Energie,Maintenance,2677.92,payee
T000180,C0113,28/04/2024,Groupe Lorrain,Audit,2594.69,annulee
T000181,C0025,2024-05-03,Sigma Sante,Formation,2153.53,payee
T000182,C0148,28-12-2024,Atelier Bastide,Audit,2355.49,annulee
T000183,C0006,2025-04-25,Sigma Sante,Licence,5445.77,payee
T000184,C0122,2025-05-02,Cabinet Ferrand,Formation,1939.88,payee
T000185,C0136,2025-07-28,Atelier Bastide,Licence,3036.31,payee
T000186,C0011,2024-03-16,Atelier Bastide,Maintenance,1826.84,en attente
T000187,C0090,2024-05-06,Verne Industries,Audit,3455.27,payee
T000188,C0203,19-04-2024,Orion Energie,Licence,2571.65,payee
T000189,C0083,2025-01-29,Sigma Sante,Formation,4146.79,payee
T000190,C0106,2025-04-07,Maison Delaunay,Maintenance,4423.49,annulee
T000191,C0052,2024-03-25,Maison Delaunay,Licence,6852.86,payee
T000192,C0018,2025-09-26,Cabinet Ferrand,Formation,9146.64,en attente
T000193,C0074,09/08/2024,Orion Energie,Licence,2275.52,payee
T000194,C0180,27-04-2025,Verne Industries,Licence,4682.0,en attente
T000195,C0073,2025-07-02,Orion Energie,Conseil,2547.41,payee
T000196,C0154,2024-01-27,Cabinet Ferrand,Conseil,4357.97,payee
T000197,C0193,23/09/2025,Verne Industries,Maintenance,4264.46,payee
T000198,C0151,09-12-2025,Cabinet Ferrand,Conseil,4197.19,payee
T000199,C0153,2025-11-30,Maison Delaunay,Licence,4864.47,payee
T000200,C0100,2024-04-11,Maison Delaunay,Maintenance,3569.29,payee
T000201,C0015,2024-10-13,Sigma Sante,Formation,2683.75,payee
T000202,C0096,2024-06-18,Groupe Lorrain,Formation,3475.84,en attente
T000203,C0201,25/11/2024,Atelier Bastide,Audit,8800.84,payee
T000204,C0125,2025-12-12,Sigma Sante,Conseil,2415.73,en attente
T000205,C0177,11-07-2025,Orion Energie,Maintenance,2797.63,payee
T000206,C0012,2025-07-16,Atelier Bastide,Conseil,2180.83,payee
T000207,C0047,2024-11-04,Orion Energie,Audit,1068.44,payee
T000208,C0070,2025-11-14,Verne Industries,Licence,3180.47,payee
T000209,C0084,2025-11-02,Orion Energie,Conseil,4507.88,payee
T000210,C0045,2025-08-11,Orion Energie,Maintenance,1987.61,payee
T000211,C0108,17-08-2025,Maison Delaunay,Conseil,6325.14,payee
T000212,C0154,2025-04-20,Atelier Bastide,Formation,4083.02,payee
T000213,C0150,10-03-2024,Sigma Sante,Licence,5471.14,en attente
T000214,C0098,2024-07-26,Groupe Lorrain,Maintenance,3888.44,annulee
T000215,C0203,15-07-2025,Verne Industries,Licence,3028.62,payee
T000216,C0052,2024-08-26,Maison Delaunay,Audit,2716.97,payee
T000217,C0009,2024-05-05,Groupe Lorrain,Licence,3805.43,payee
T000218,C0173,2025-11-22,Cabinet Ferrand,Formation,3981.36,payee
T000219,C0152,2024-12-22,Sigma Sante,Formation,2510.15,payee
T000220,C0061,2025-09-20,Groupe Lorrain,Audit,2988.96,payee
T000221,C0202,2024-07-26,Verne Industries,Maintenance,7945.55,payee
T000222,C0038,2024-09-19,Groupe Lorrain,Conseil,3508.93,payee
T000223,C0059,2024-09-07,Maison Delaunay,Maintenance,3693.86,payee
T000224,C0036,2024-09-29,Groupe Lorrain,Licence,6983.03,payee
T000225,C0044,2024-11-15,Verne Industries,Formation,4007.95,payee
T000226,C0170,2024-08-05,Nord Logistique,Conseil,3283.63,en attente
T000227,C0164,2025-08-17,Atelier Bastide,Audit,5393.14,payee
T000228,C0150,26/08/2024,Atelier Bastide,Conseil,4793.37,payee
T000229,C0200,2024-11-18,Sigma Sante,Audit,3741.5,payee
T000230,C0017,2025-09-20,Sigma Sante,Conseil,3906.05,payee
T000231,C0144,2024-11-15,Groupe Lorrain,Licence,2842.09,payee
T000232,C0027,2024-01-08,Sigma Sante,Conseil,1753.33,payee
T000233,C0062,01/01/2024,Cabinet Ferrand,Licence,4449.12,payee
T000234,C0148,2024-11-14,Atelier Bastide,Audit,1375.85,payee
T000235,C0177,2025-04-18,Orion Energie,Licence,1796.89,payee
T000236,C0133,2025-11-19,Verne Industries,Licence,2968.1,payee
T000237,C0090,2024-04-05,Verne Industries,Conseil,2813.11,payee
T000238,C0160,31/01/2025,Atelier Bastide,Audit,4690.37,payee
T000239,C0194,2024-07-29,Orion Energie,Formation,5302.04,payee
T000240,C0042,2024-11-24,Verne Industries,Licence,8509.86,payee
T000241,C0203,2024-11-19,Nord Logistique,Audit,1252.69,payee
T000242,C0169,2024-08-16,Atelier Bastide,Maintenance,4186.22,payee
T000243,C0020,2024-01-14,Orion Energie,Maintenance,4100.44,payee
T000244,C0218,2024-02-23,Sigma Sante,Conseil,3844.04,annulee
T000245,C0042,16/01/2025,Nord Logistique,Licence,4448.12,payee
T000246,C0140,2024-06-12,Verne Industries,Licence,4920.41,payee
T000247,C0031,26-08-2024,Maison Delaunay,Conseil,6424.57,payee
T000248,C0046,07-03-2024,Cabinet Ferrand,Formation,3902.92,payee
T000249,C0150,2024-02-06,Orion Energie,Audit,7394.21,payee
T000250,C0158,2024-04-02,Maison Delaunay,Audit,3917.37,payee
T000251,C0160,2024-10-02,Groupe Lorrain,Audit,2612.12,en attente
T000252,C0080,2024-04-29,Sigma Sante,Audit,3739.48,en attente
T000253,C0191,2024-06-17,Atelier Bastide,Audit,2084.43,payee
T000254,C0012,2024-08-08,Verne Industries,Conseil,2143.53,payee
T000255,C0199,2024-07-31,Cabinet Ferrand,Audit,3099.53,payee
T000256,C0071,09/01/2024,Atelier Bastide,Maintenance,2872.86,payee
T000257,C0144,2024-03-26,Orion Energie,Audit,6335.41,payee
T000258,C0211,2025-11-24,Orion Energie,Maintenance,3079.33,payee
T000259,C0060,02/05/2025,Atelier Bastide,Conseil,1922.32,payee
T000260,C0096,2024-03-31,Verne Industries,Licence,3390.16,payee
T000261,C0193,2024-07-26,Verne Industries,Maintenance,3897.65,payee
T000262,C0201,2024-10-06,Maison Delaunay,Conseil,3577.0,payee
T000263,C0055,2025-10-23,Nord Logistique,Licence,1869.74,payee
T000264,C0119,2025-10-04,Maison Delaunay,Maintenance,6678.34,payee
T000265,C0078,2025-07-16,Groupe Lorrain,Licence,1170.02,payee
T000266,C0120,2024-03-18,Nord Logistique,Maintenance,3549.07,payee
T000267,C0088,24/12/2024,Atelier Bastide,Conseil,1835.34,payee
T000268,C0002,2024-12-19,Atelier Bastide,Formation,5549.24,en attente
T000269,C0215,10-04-2025,Sigma Sante,Audit,4195.52,payee
T000270,C0148,2025-09-08,Atelier Bastide,Licence,3897.55,payee
T000271,C0108,2024-08-22,Groupe Lorrain,Conseil,2957.84,payee
T000272,C0026,10/02/2025,Cabinet Ferrand,Conseil,6387.46,payee
T000273,C0017,2024-07-11,Maison Delaunay,Licence,2953.95,payee
T000274,C0112,2024-06-02,Nord Logistique,Audit,7722.24,payee
T000275,C0151,2024-08-16,Atelier Bastide,Conseil,2109.81,payee
T000276,C0061,2025-06-20,Sigma Sante,Conseil,3402.09,payee
T000277,C0173,15/11/2024,Cabinet Ferrand,Formation,4853.44,payee
T000278,C0092,12-05-2025,Maison Delaunay,Formation,4341.45,payee
T000279,C0003,2025-05-19,Atelier Bastide,Conseil,3265.39,payee
T000280,C0125,2024-09-21,Orion Energie,Formation,1264.9,payee
T000281,C0043,2025-11-28,Verne Industries,Maintenance,3672.98,en attente
T000282,C0004,2024-02-03,Orion Energie,Audit,2769.71,en attente
T000283,C0031,2025-10-16,Cabinet Ferrand,Formation,2427.85,payee
T000284,C0067,2024-01-06,Maison Delaunay,Maintenance,4997.1,payee
T000285,C0120,2024-10-06,Nord Logistique,Audit,1109.62,payee
T000286,C0045,2025-08-25,Groupe Lorrain,Conseil,3327.49,payee
T000287,C0051,2025-05-14,Groupe Lorrain,Audit,617.01,payee
T000288,C0014,2024-08-22,Cabinet Ferrand,Conseil,4358.26,payee
T000289,C0045,2025-10-08,Atelier Bastide,Maintenance,5023.36,payee
T000290,C0075,2024-04-10,Nord Logistique,Maintenance,3646.56,payee
T000291,C0048,04-05-2025,Atelier Bastide,Audit,2632.05,en attente
T000292,C0075,2025-01-13,Nord Logistique,Licence,6340.57,payee
T000293,C0203,2024-05-31,Atelier Bastide,Maintenance,6554.54,payee
T000294,C0089,2025-11-03,Atelier Bastide,Conseil,4000.51,payee
T000295,C0148,2025-07-12,Verne Industries,Licence,7046.16,payee
T000296,C0159,2024-01-07,Nord Logistique,Audit,2107.44,payee
T000297,C0031,04-03-2024,Cabinet Ferrand,Conseil,3160.33,payee
T000298,C0058,2024-02-10,Verne Industries,Conseil,802.28,payee
T000299,C0097,2024-10-30,Verne Industries,Maintenance,1762.94,payee
T000300,C0107,2024-10-31,Verne Industries,Licence,1675.68,en attente
T000301,C0004,2025-06-12,Cabinet Ferrand,Licence,4344.76,payee
T000302,C0150,2025-05-08,Sigma Sante,Formation,1832.29,payee
T000303,C0070,2024-01-12,Nord Logistique,Conseil,1066.21,payee
T000304,C0075,13/12/2024,Cabinet Ferrand,Maintenance,2326.78,payee
T000305,C0140,2025-07-26,Maison Delaunay,Formation,2487.52,payee
T000306,C0169,2025-10-17,Nord Logistique,Maintenance,1570.34,en attente
T000307,C0201,2024-08-01,Orion Energie,Licence,3504.03,en attente
T000308,C0151,2024-02-02,Nord Logistique,Formation,3835.62,en attente
T000309,C0096,2024-04-21,Atelier Bastide,Formation,1351.83,payee
T000310,C0028,05/09/2024,Nord Logistique,Maintenance,4683.24,payee
T000311,C0051,19-11-2024,Sigma Sante,Formation,2027.25,payee
T000312,C0080,2024-09-13,Atelier Bastide,Audit,2466.49,annulee
T000313,C0070,2024-03-07,Atelier Bastide,Licence,4212.34,payee
T000314,C0049,2024-09-05,Nord Logistique,Audit,2478.37,payee
T000315,C0036,2024-07-30,Orion Energie,Licence,1778.37,en attente
T000316,C0044,2024-12-22,Verne Industries,Licence,3398.9,payee
T000317,C0153,2024-02-27,Nord Logistique,Licence,5581.9,en attente
T000318,C0114,31-07-2025,Maison Delaunay,Licence,5243.02,payee
T000319,C0009,31/10/2024,Maison Delaunay,Licence,2353.33,en attente
T000320,C0131,20/08/2024,Atelier Bastide,Audit,1946.55,payee
T000321,C0196,23-10-2025,Cabinet Ferrand,Maintenance,2170.73,payee
T000322,C0099,2025-06-27,Orion Energie,Conseil,5271.21,payee
T000323,C0074,09/04/2024,Orion Energie,Conseil,2151.05,payee
T000324,C0064,2024-04-16,Sigma Sante,Conseil,6872.12,payee
T000325,C0089,2024-01-02,Groupe Lorrain,Maintenance,4185.24,annulee
T000326,C0065,2025-02-13,Cabinet Ferrand,Formation,3199.49,en attente
T000327,C0215,2024-09-15,Groupe Lorrain,Formation,2332.63,annulee
T000328,C0196,2024-09-30,Verne Industries,Audit,3422.94,payee
T000329,C0080,2025-01-06,Sigma Sante,Conseil,1772.04,payee
T000330,C0215,2025-01-28,Cabinet Ferrand,Conseil,1377.53,en attente
T000331,C0199,2024-01-01,Atelier Bastide,Conseil,4205.55,payee
T000332,C0018,2024-03-19,Maison Delaunay,Formation,3192.09,payee
T000333,C0114,2025-07-30,Sigma Sante,Conseil,4769.37,payee
T000334,C0153,2025-11-27,Maison Delaunay,Maintenance,3772.15,en attente
T000335,C0098,2025-09-03,Sigma Sante,Maintenance,2312.08,payee
T000336,C0106,2025-10-23,Maison Delaunay,Conseil,5240.02,payee
T000337,C0115,2024-12-04,Maison Delaunay,Licence,2460.69,payee
T000338,C0160,2025-08-26,Orion Energie,Formation,5977.36,payee
T000339,C0069,2025-10-06,Verne Industries,Conseil,2419.54,payee
T000340,C0139,2025-10-13,Cabinet Ferrand,Licence,1510.68,payee
T000341,C0057,2024-04-19,Nord Logistique,Maintenance,6516.06,payee
T000342,C0207,17/04/2024,Maison Delaunay,Formation,2375.3,payee
T000343,C0020,2024-10-20,Cabinet Ferrand,Maintenance,2465.84,payee
T000344,C0016,2025-01-02,Cabinet Ferrand,Audit,1549.05,payee
T000345,C0009,30-11-2025,Atelier Bastide,Conseil,3056.66,en attente
T000346,C0082,2024-08-20,Maison Delaunay,Conseil,1662.55,payee
T000347,C0141,30-08-2025,Groupe Lorrain,Formation,6325.44,payee
T000348,C0073,2025-10-09,Cabinet Ferrand,Audit,2664.91,payee
T000349,C0106,2025-12-05,Cabinet Ferrand,Conseil,1967.26,annulee
T000350,C0043,18-05-2024,Sigma Sante,Licence,3335.8,payee
T000351,C0086,25-06-2024,Cabinet Ferrand,Licence,9040.62,payee
T000352,C0030,09/06/2024,Groupe Lorrain,Conseil,3414.37,payee
T000353,C0110,2025-06-20,Nord Logistique,Conseil,2860.9,payee
T000354,C0170,16/05/2025,Atelier Bastide,Conseil,3294.95,payee
T000355,C0009,2024-10-24,Cabinet Ferrand,Conseil,4890.5,annulee
T000356,C0181,05/03/2024,Verne Industries,Licence,4668.62,payee
T000357,C0054,2025-01-15,Atelier Bastide,Audit,3714.79,en attente
T000358,C0156,2025-06-18,Orion Energie,Formation,5348.17,payee
T000359,C0190,2024-12-12,Verne Industries,Formation,3390.88,payee
T000360,C0181,2024-07-14,Nord Logistique,Formation,2986.64,payee
T000361,C0156,2025-03-08,Sigma Sante,Audit,3352.74,payee
T000362,C0161,2025-04-27,Verne Industries,Audit,2427.56,payee
T000363,C0044,2025-03-07,Orion Energie,Maintenance,4942.68,payee
T000364,C0032,2025-09-29,Cabinet Ferrand,Licence,2365.21,payee
T000365,C0089,2024-08-17,Orion Energie,Conseil,982.16,payee
T000366,C0142,2025-03-21,Cabinet Ferrand,Audit,1372.47,en attente
T000367,C0144,2025-09-16,Groupe Lorrain,Conseil,3906.3,payee
T000368,C0181,2024-06-04,Sigma Sante,Conseil,2158.02,en attente
T000369,C0072,2024-07-24,Sigma Sante,Maintenance,4723.88,payee
T000370,C0201,2024-02-05,Orion Energie,Conseil,3207.55,payee
T000371,C0105,2024-09-30,Groupe Lorrain,Conseil,4924.23,en attente
T000372,C0058,2024-02-02,Sigma Sante,Licence,1040.0,payee
T000373,C0171,28-06-2025,Verne Industries,Conseil,2355.38,en attente
T000374,C0030,05/03/2024,Sigma Sante,Formation,1931.97,payee
T000375,C0095,20/05/2025,Orion Energie,Maintenance,9938.83,payee
T000376,C0182,27/02/2025,Atelier Bastide,Conseil,2569.26,payee
T000377,C0179,2025-12-22,Verne Industries,Maintenance,1360.55,payee
T000378,C0060,2024-09-11,Verne Industries,Conseil,3869.11,payee
T000379,C0039,08/09/2024,Verne Industries,Maintenance,1840.11,payee
T000380,C0008,2024-06-26,Nord Logistique,Conseil,5180.85,payee
T000381,C0021,2025-01-27,Cabinet Ferrand,Maintenance,5614.75,payee
T000382,C0192,2024-06-09,Maison Delaunay,Maintenance,1942.44,en attente
